date,backward compatible_unscaled,backward compatible_monthly,isPartial,scale,backward compatible
2005-01-01,0,0,False,0.0,0.0
2005-01-02,0,0,False,0.0,0.0
2005-01-03,0,0,False,0.0,0.0
2005-01-04,99,99,False,0.99,98.01
2005-01-05,0,0,False,0.0,0.0
2005-01-06,0,0,False,0.0,0.0
2005-01-07,0,0,False,0.0,0.0
2005-01-08,0,0,False,0.0,0.0
2005-01-09,0,0,False,0.0,0.0
2005-01-10,0,0,False,0.0,0.0
2005-01-11,0,0,False,0.0,0.0
2005-01-12,0,0,False,0.0,0.0
2005-01-13,0,0,False,0.0,0.0
2005-01-14,0,0,False,0.0,0.0
2005-01-15,0,0,False,0.0,0.0
2005-01-16,0,0,False,0.0,0.0
2005-01-17,0,0,False,0.0,0.0
2005-01-18,0,0,False,0.0,0.0
2005-01-19,0,0,False,0.0,0.0
2005-01-20,0,0,False,0.0,0.0
2005-01-21,0,0,False,0.0,0.0
2005-01-22,0,0,False,0.0,0.0
2005-01-23,0,0,False,0.0,0.0
2005-01-24,0,0,False,0.0,0.0
2005-01-25,0,0,False,0.0,0.0
2005-01-26,0,0,False,0.0,0.0
2005-01-27,0,0,False,0.0,0.0
2005-01-28,100,100,False,1.0,100.0
2005-01-29,0,0,False,0.0,0.0
2005-01-30,0,0,False,0.0,0.0
2005-01-31,0,0,False,0.0,0.0
2005-02-01,0,0,False,0.0,0.0
2005-02-02,0,0,False,0.0,0.0
2005-02-03,0,0,False,0.0,0.0
2005-02-04,0,0,False,0.0,0.0
2005-02-05,0,0,False,0.0,0.0
2005-02-06,0,0,False,0.0,0.0
2005-02-07,93,93,False,0.93,86.49000000000001
2005-02-08,0,0,False,0.0,0.0
2005-02-09,0,0,False,0.0,0.0
2005-02-10,0,0,False,0.0,0.0
2005-02-11,0,0,False,0.0,0.0
2005-02-12,0,0,False,0.0,0.0
2005-02-13,0,0,False,0.0,0.0
2005-02-14,0,0,False,0.0,0.0
2005-02-15,0,0,False,0.0,0.0
2005-02-16,0,0,False,0.0,0.0
2005-02-17,0,0,False,0.0,0.0
2005-02-18,95,95,False,0.95,90.25
2005-02-19,0,0,False,0.0,0.0
2005-02-20,0,0,False,0.0,0.0
2005-02-21,100,100,False,1.0,100.0
2005-02-22,0,0,False,0.0,0.0
2005-02-23,0,0,False,0.0,0.0
2005-02-24,0,0,False,0.0,0.0
2005-02-25,0,0,False,0.0,0.0
2005-02-26,0,0,False,0.0,0.0
2005-02-27,0,0,False,0.0,0.0
2005-02-28,87,87,False,0.87,75.69
2005-03-01,97,97,False,0.97,94.09
2005-03-02,0,0,False,0.0,0.0
2005-03-03,0,0,False,0.0,0.0
2005-03-04,0,0,False,0.0,0.0
2005-03-05,0,0,False,0.0,0.0
2005-03-06,0,0,False,0.0,0.0
2005-03-07,0,0,False,0.0,0.0
2005-03-08,94,94,False,0.94,88.36
2005-03-09,0,0,False,0.0,0.0
2005-03-10,100,100,False,1.0,100.0
2005-03-11,0,0,False,0.0,0.0
2005-03-12,0,0,False,0.0,0.0
2005-03-13,0,0,False,0.0,0.0
2005-03-14,0,0,False,0.0,0.0
2005-03-15,0,0,False,0.0,0.0
2005-03-16,0,0,False,0.0,0.0
2005-03-17,0,0,False,0.0,0.0
2005-03-18,0,0,False,0.0,0.0
2005-03-19,0,0,False,0.0,0.0
2005-03-20,0,0,False,0.0,0.0
2005-03-21,0,0,False,0.0,0.0
2005-03-22,98,98,False,0.98,96.03999999999999
2005-03-23,0,0,False,0.0,0.0
2005-03-24,0,0,False,0.0,0.0
2005-03-25,0,0,False,0.0,0.0
2005-03-26,0,0,False,0.0,0.0
2005-03-27,0,0,False,0.0,0.0
2005-03-28,0,0,False,0.0,0.0
